,date,temp,sensedTemp,cover,windDirection,windSpeed,maxWindSpeed,cloudy%,rain,humidity%
38,2021-11-15 14:00:00,6.0,2.0,Pochmurno,ESE,17,17.0,100.0,0.0,83.0
39,2021-11-15 15:00:00,6.0,2.0,Pochmurno,ESE,15,17.0,100.0,0.0,87.0
40,2021-11-15 16:00:00,5.0,2.0,Pochmurno,ESE,13,15.0,100.0,0.0,92.0
41,2021-11-15 17:00:00,4.0,1.0,Pochmurno,ESE,15,15.0,100.0,0.0,95.0
42,2021-11-15 18:00:00,4.0,0.0,Pochmurno,ESE,15,15.0,100.0,0.0,96.0
43,2021-11-15 19:00:00,4.0,1.0,Pochmurno,ESE,15,15.0,100.0,0.0,94.0
44,2021-11-15 20:00:00,4.0,1.0,Pochmurno,ESE,13,15.0,98.0,0.0,92.0
45,2021-11-15 21:00:00,4.0,0.0,Pochmurno,ESE,13,15.0,96.0,0.0,91.0
46,2021-11-15 22:00:00,4.0,0.0,Pochmurno,ESE,13,15.0,94.0,0.0,91.0
47,2021-11-15 23:00:00,4.0,1.0,Pochmurno,ESE,13,13.0,96.0,0.0,92.0
48,2021-11-16 00:00:00,3.0,1.0,Pochmurno,ESE,11,13.0,98.0,0.0,92.0
49,2021-11-16 01:00:00,3.0,1.0,Pochmurno,E,9,11.0,100.0,0.0,92.0
50,2021-11-16 02:00:00,3.0,1.0,Pochmurno,ESE,9,11.0,100.0,0.0,91.0
51,2021-11-16 03:00:00,3.0,1.0,Pochmurno,ESE,9,11.0,100.0,0.0,90.0
52,2021-11-16 04:00:00,3.0,2.0,Pochmurno,ESE,9,11.0,100.0,0.0,91.0
53,2021-11-16 05:00:00,3.0,1.0,Pochmurno,ESE,9,11.0,100.0,0.0,92.0
54,2021-11-16 06:00:00,2.0,1.0,Pochmurno,E,9,9.0,100.0,0.0,94.0
55,2021-11-16 07:00:00,2.0,0.0,Zachmurzenie małe,E,9,9.0,10.0,0.0,99.0
56,2021-11-16 08:00:00,3.0,1.0,Przeważnie słonecznie,E,9,11.0,10.0,0.0,96.0
57,2021-11-16 09:00:00,3.0,2.0,Przeważnie słonecznie,ESE,9,11.0,10.0,0.0,93.0
58,2021-11-16 10:00:00,4.0,3.0,Przeważnie słonecznie,SE,11,11.0,10.0,0.0,90.0
59,2021-11-16 11:00:00,5.0,4.0,Przeważnie słonecznie,SE,11,13.0,10.0,0.0,85.0
60,2021-11-16 12:00:00,6.0,6.0,Przeważnie słonecznie,SE,11,13.0,10.0,0.0,82.0
61,2021-11-16 13:00:00,6.0,6.0,Przeważnie słonecznie,SE,11,13.0,10.0,0.0,80.0
62,2021-11-16 14:00:00,7.0,7.0,Przeważnie słonecznie,SE,9,13.0,10.0,0.0,77.0
63,2021-11-16 15:00:00,6.0,6.0,Przeważnie słonecznie,ESE,9,11.0,10.0,0.0,82.0
64,2021-11-16 16:00:00,6.0,5.0,Zachmurzenie małe,ESE,7,11.0,10.0,0.0,87.0
65,2021-11-16 17:00:00,5.0,4.0,Zachmurzenie małe,SE,7,11.0,10.0,0.0,91.0
66,2021-11-16 18:00:00,4.0,3.0,Zachmurzenie małe,SE,9,9.0,10.0,0.0,94.0
67,2021-11-16 19:00:00,3.0,2.0,Pochmurno,SE,9,9.0,100.0,0.0,96.0
68,2021-11-16 20:00:00,2.0,1.0,Pochmurno,ESE,9,9.0,100.0,0.0,99.0
69,2021-11-16 21:00:00,2.0,1.0,Pochmurno,ESE,7,9.0,100.0,0.0,99.0
70,2021-11-16 22:00:00,2.0,1.0,Pochmurno,E,7,9.0,100.0,0.0,99.0
71,2021-11-16 23:00:00,1.0,0.0,Pochmurno,E,7,9.0,94.0,0.0,100.0
72,2021-11-17 00:00:00,2.0,1.0,Zachmurzenie duże,ESE,7,9.0,88.0,0.0,97.0
73,2021-11-17 01:00:00,2.0,1.0,Zachmurzenie duże,ESE,7,9.0,82.0,0.0,96.0
74,2021-11-17 02:00:00,2.0,1.0,Zachmurzenie duże,SE,7,9.0,88.0,0.0,95.0
75,2021-11-17 03:00:00,2.0,2.0,Pochmurno,SSE,7,9.0,94.0,0.0,94.0
76,2021-11-17 04:00:00,2.0,2.0,Pochmurno,SSE,7,9.0,100.0,0.0,93.0
77,2021-11-17 05:00:00,2.0,1.0,Pochmurno,S,7,9.0,100.0,0.0,95.0
78,2021-11-17 06:00:00,2.0,0.0,Pochmurno,S,9,11.0,100.0,0.0,97.0
79,2021-11-17 07:00:00,2.0,0.0,Przejściowe zachmurzenie,S,9,11.0,70.0,0.0,98.0
80,2021-11-17 08:00:00,2.0,0.0,Przejściowe zachmurzenie,S,11,11.0,70.0,0.0,99.0
81,2021-11-17 09:00:00,3.0,1.0,Przejściowe zachmurzenie,SSW,11,13.0,70.0,0.0,96.0
82,2021-11-17 10:00:00,4.0,2.0,Przejściowe zachmurzenie,SSW,13,13.0,70.0,0.0,93.0
83,2021-11-17 11:00:00,5.0,2.0,Przejściowe zachmurzenie,SW,15,15.0,70.0,0.0,89.0
84,2021-11-17 12:00:00,5.0,2.0,Przejściowe zachmurzenie,SW,17,17.0,70.0,0.0,87.0
85,2021-11-17 13:00:00,6.0,2.0,Przejściowe zachmurzenie,WSW,18,18.0,70.0,0.0,85.0
86,2021-11-17 14:00:00,6.0,2.0,Przejściowe zachmurzenie,WSW,17,18.0,70.0,0.0,83.0
87,2021-11-17 15:00:00,5.0,2.0,Przejściowe zachmurzenie,SW,15,17.0,70.0,0.0,88.0
88,2021-11-17 16:00:00,5.0,2.0,Przejściowe zachmurzenie,SW,15,17.0,70.0,0.0,90.0
89,2021-11-17 17:00:00,5.0,1.0,Przejściowe zachmurzenie,SW,15,17.0,70.0,0.0,92.0
90,2021-11-17 18:00:00,5.0,1.0,Przejściowe zachmurzenie,SW,15,15.0,70.0,0.0,92.0
91,2021-11-17 19:00:00,4.0,1.0,Pochmurno,SW,15,17.0,100.0,0.0,92.0
92,2021-11-17 20:00:00,4.0,0.0,Pochmurno,SW,15,17.0,100.0,0.0,97.0
93,2021-11-17 21:00:00,4.0,0.0,Pochmurno,SW,15,17.0,100.0,0.0,94.0
94,2021-11-17 22:00:00,4.0,0.0,Pochmurno,SW,15,17.0,100.0,0.0,94.0
95,2021-11-17 23:00:00,4.0,0.0,Pochmurno,SW,15,17.0,100.0,0.0,93.0
96,2021-11-18 00:00:00,4.0,0.0,Pochmurno,SW,17,17.0,100.0,0.0,93.0
97,2021-11-18 01:00:00,5.0,-1.0,Przelotne opady,SW,17,18.0,100.0,0.2,93.0
98,2021-11-18 02:00:00,5.0,0.0,Przelotne opady,SW,17,18.0,100.0,0.2,91.0
99,2021-11-18 03:00:00,5.0,0.0,Przelotne opady,WSW,17,18.0,100.0,0.2,91.0
100,2021-11-18 04:00:00,5.0,1.0,Pochmurno,WSW,17,18.0,100.0,0.0,90.0
101,2021-11-18 05:00:00,5.0,0.0,Pochmurno,WSW,17,20.0,95.0,0.0,91.0
102,2021-11-18 06:00:00,5.0,0.0,Pochmurno,W,17,20.0,91.0,0.0,92.0
103,2021-11-18 07:00:00,5.0,0.0,Zachmurzenie duże,W,18,20.0,87.0,0.0,92.0
104,2021-11-18 08:00:00,5.0,-2.0,Przelotne opady,W,18,20.0,91.0,0.5,92.0
105,2021-11-18 09:00:00,5.0,0.0,Pochmurno,W,20,22.0,95.0,0.0,92.0
106,2021-11-18 10:00:00,6.0,-1.0,Przelotne opady,W,20,24.0,99.0,0.5,90.0
107,2021-11-18 11:00:00,6.0,1.0,Pochmurno,W,22,24.0,95.0,0.0,86.0
108,2021-11-18 12:00:00,6.0,1.0,Pochmurno,W,24,26.0,91.0,0.0,84.0
109,2021-11-18 13:00:00,7.0,2.0,Zachmurzenie duże,W,24,26.0,87.0,0.0,81.0
110,2021-11-18 14:00:00,7.0,2.0,Zachmurzenie duże,W,22,26.0,89.0,0.0,78.0
111,2021-11-18 15:00:00,7.0,2.0,Pochmurno,W,22,24.0,91.0,0.0,82.0
112,2021-11-18 16:00:00,6.0,1.0,Pochmurno,WSW,20,24.0,93.0,0.0,84.0
113,2021-11-18 17:00:00,6.0,-1.0,Przelotne opady,WSW,20,24.0,95.0,0.5,87.0
114,2021-11-18 18:00:00,5.0,-2.0,Przelotne opady,WSW,20,22.0,97.0,0.5,89.0
115,2021-11-18 19:00:00,5.0,-1.0,Deszcz,WSW,20,22.0,100.0,0.4,91.0
116,2021-11-18 20:00:00,5.0,-2.0,Deszcz,WSW,20,22.0,100.0,0.4,92.0
117,2021-11-18 21:00:00,4.0,-2.0,Deszcz,WSW,22,24.0,100.0,0.4,93.0
118,2021-11-18 22:00:00,4.0,-3.0,Pochmurno,WSW,22,24.0,100.0,0.0,99.0
119,2021-11-18 23:00:00,4.0,-3.0,Deszcz,WSW,22,24.0,100.0,0.4,94.0
